Country,Last,Previous,Reference,Unit
Afghanistan,131,131,Apr/24,points
Albania,117,117,May/24,points
Algeria,296,293,Apr/24,points
Angola,197,192,May/24,points
Argentina,6074,5830,May/24,points
Armenia,157,156,Apr/24,points
Aruba,109,109,May/24,points
Australia,137,136,Mar/24,points
Austria,124,124,May/24,points
Azerbaijan,216,216,May/24,points
Bahamas,121,121,Feb/24,points
Bahrain,102,101,Apr/24,points
Bangladesh,122,122,May/24,points
Barbados,115,115,Feb/24,points
Belgium,132,131,May/24,points
Belize,118,118,Apr/24,points
Benin,113,113,May/24,points
Bermuda,116,117,Dec/23,points
Bhutan,130,128,Apr/24,points
Bolivia,113,113,May/24,points
Bosnia and Herzegovina,126,126,Apr/24,points
Botswana,134,134,May/24,points
Brazil,6895,6869,Apr/24,points
Brunei,106,106,May/24,points
Bulgaria,9500,9522,May/24,points
Burkina Faso,128,127,May/24,points
Burundi,219,215,Apr/24,points
Cambodia,200,199,Mar/24,points
Cameroon,112,111,Apr/24,points
Canada,162,161,May/24,points
Cape Verde,117,116,May/24,points
Cayman Islands,132,132,Mar/24,points
Chad,116,116,Mar/24,points
Chile,104,103,May/24,points
China,103,103,May/24,points
Colombia,143,142,May/24,points
Congo,262,256,Dec/23,points
Costa Rica,110,109,May/24,points
Croatia,129,129,May/24,points
Cyprus,118,117,May/24,points
Czech Republic,151,151,May/24,points
Denmark,118,118,Apr/24,points
Djibouti,104,104,Apr/24,points
Dominican Republic,127,127,May/24,points
East Timor,125,125,May/24,points
Ecuador,114,114,May/24,points
Egypt,218,219,May/24,points
El Salvador,131,130,May/24,points
Estonia,300,300,May/24,points
Ethiopia,453,435,Mar/24,points
Euro Area,126,126,May/24,points
European Union,130,130,May/24,points
Faroe Islands,143,142,Mar/24,points
Fiji,126,127,May/24,points
Finland,122,122,May/24,points
France,120,120,May/24,points
Gabon,112,112,Dec/23,points
Gambia,157,155,Apr/24,points
Georgia,179,178,Apr/24,points
Germany,119,119,May/24,points
Ghana,220,213,May/24,points
Greece,118,118,May/24,points
Guatemala,101,101,May/24,points
